"Nr
okręgu",TERYT,Powiat,Uprawnieni do głosowania,Karty wydane (frekwencja),Karty ważne (głosy oddane),Głosy nieważne,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,Komitet Wyborczy Ruch Patriotyczny,Komitet Wyborczy Polska Partia Pracy,Komitet Wyborczy Liga Polskich Rodzin,Komitet Wyborczy Partia Demokratyczna,Komitet Wyborczy Socjaldemokracja Polska,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Sojusz Lewicy Demokratycznej,Komitet Wyborczy Platforma Obywatelska,Komitet Wyborczy Polska Partia Narodowa,Komitet Wyborczy Polskie Stronnictwo Ludowe,Komitet Wyborczy Centrum,Komitet Wyborczy Platforma Janusza Korwin-Mikke,Komitet Wyborczy Ogólnopolska Koalicja Obywatelska O.K.O.,Komitet Wyborczy Polska Konfederacja - Godność i Praca,Komitet Wyborczy Samoobrona RP,Komitet Wyborczy Inicjatywa RP,Komitet Wyborczy Dom Ojczysty,Komitet Wyborczy Narodowe Odrodzenie Polski,Komitet Wyborczy Stronnictwo Pracy,Komitet Wyborczy Społeczni Ratownicy,Komitet Wyborczy Mniejszość Niemiecka,Komitet Wyborczy Mniejszość Niemiecka Śląska
30,1706503,mikołowskiraciborskirybnickiwodzisławskim. Jastrzębie-Zdrójm. Rybnikm. Żory,582578,231953,231754,7067,224687,1368,2132,15741,3711,5743,70401,26187,71152,618,5608,1169,3081,0,606,17170,0,0,0,0,0,0,0
31,2218608,bieruńsko-lędzińskim. Chorzówm. Katowicem. Mysłowicem. Piekary Śląskiem. Ruda Śląskam. Siemianowice Śląskiem. Świętochłowicem. Tychy,832955,341833,341296,9857,331439,2614,3739,16484,11198,15296,103827,34837,113953,1086,4276,0,5889,0,1063,17177,0,0,0,0,0,0,0
32,1222503,będzińskizawierciańskim. Dąbrowa Górniczam. Jaworznom. Sosnowiec,603133,220079,219903,8331,211572,2431,3826,15349,5577,14406,51355,44738,57562,800,7586,0,5947,656,1339,0,0,0,0,0,0,0,0
33,3655201,buskijędrzejowskikazimierskikieleckikoneckiopatowskiostrowieckipińczowskisandomierskiskarżyskistarachowickistaszowskiwłoszczowskim. Kielce,1041455,380422,379780,15011,364769,5730,3128,22486,4788,14800,86670,44961,56133,995,51610,2588,4579,1095,0,62851,762,1593,0,0,0,0,0
34,2531401,bartoszyckibraniewskidziałdowskielbląskiiławskilidzbarskinowomiejskiostródzkim. Elbląg,504547,173559,173239,6892,166347,1469,1439,9289,5136,5929,36355,20005,39052,560,14980,768,1961,0,0,29404,0,0,0,0,0,0,0
35,3379901,ełckigiżyckikętrzyńskimrągowskinidzickioleckiolsztyńskipiskiszczycieńskigołdapskiwęgorzewskim. Olsztyn,623654,215436,215235,8871,206364,1623,1600,16077,6135,6373,46619,29476,49698,559,19484,1139,3232,0,0,24349,0,0,0,0,0,0,0
36,3926202,gostyńskijarocińskikaliskikępińskikościańskikrotoszyńskileszczyńskiostrowskiostrzeszowskipleszewskirawickim. Kaliszm. Leszno,774337,298325,298000,15919,282081,3279,1790,21060,3921,12941,56771,36731,61255,608,30967,869,3983,0,662,46683,561,0,0,0,0,0,0
37,2721501,gnieźnieńskikolskikonińskisłupeckiśredzkiśremskitureckiwrzesińskim. Konin,597149,228521,228181,10166,218015,2116,1753,13681,3525,9505,42936,28503,40948,520,22210,0,3672,696,544,45136,0,1947,323,0,0,0,0
38,3318400,chodzieskiczarnkowsko-trzcianeckigrodziskimiędzychodzkinowotomyskiobornickipilskiszamotulskiwągrowieckiwolsztyńskizłotowski,589216,232916,232627,13834,218793,1994,1716,16271,3294,12785,37036,34622,54063,681,21111,0,2948,0,0,32272,0,0,0,0,0,0,0
39,608501,poznańskim. Poznań,665155,314155,313431,8231,305200,1606,1969,16479,11377,16519,77985,31973,115891,539,6269,673,5693,801,0,17426,0,0,0,0,0,0,0
40,3214501,białogardzkichoszczeńskidrawskikołobrzeskikoszalińskisławieńskiszczecineckiświdwińskiwałeckim. Koszalin,514330,182939,182685,7234,175451,1098,1417,8083,6564,8273,35669,24343,38174,491,9217,0,2156,0,0,39966,0,0,0,0,0,0,0
41,3871103,goleniowskigryfickigryfińskikamieńskimyśliborskipolickipyrzyckistargardzkiłobeskim. Szczecinm. ŚwinoujścieStatki,831561,318120,317483,9477,308006,0,3249,18834,9314,16956,71589,45707,86900,1080,11819,0,6110,0,0,35321,0,1127,0,0,0,0,0
